,0,1,2,3,4,mean,std,model,missing_value_imputation_method
Accuracy,0.7721518987341772,0.8160919540229885,0.8160919540229885,0.8170731707317073,0.8787878787878788,0.820039371259948,0.038028146526371806,P-NET,Drop
Macro F1,0.7622038588378,0.7544191919191919,0.7731240981240982,0.8404344193817879,0.85334008097166,0.7967043298469075,0.04651416922216053,P-NET,Drop
Basal F1,0.8695652173913043,0.9166666666666666,0.9285714285714286,0.9523809523809523,1.0,0.9334368530020705,0.04789057522037574,P-NET,Drop
Her2 F1,0.8,0.6666666666666666,0.6666666666666666,0.9333333333333333,0.8,0.7733333333333332,0.11155467020454345,P-NET,Drop
LumA F1,0.8387096774193549,0.8888888888888888,0.8686868686868687,0.8444444444444444,0.9210526315789473,0.872356502203701,0.033798264830504715,P-NET,Drop
LumB F1,0.5405405405405406,0.5454545454545454,0.6285714285714286,0.631578947368421,0.6923076923076923,0.6076906308485256,0.06432179145363807,P-NET,Drop
Accuracy,0.8257575757575758,0.8560606060606061,0.8409090909090909,0.8015267175572519,0.8702290076335878,0.8388965995836225,0.02669042461095752,P-NET,median
Macro F1,0.785868830290737,0.8118159444271784,0.8442564745196324,0.7615528858377828,0.8507936507936508,0.8108575571737962,0.03796934568307591,P-NET,median
Basal F1,0.9019607843137255,0.9361702127659575,0.9777777777777777,0.8888888888888888,0.9795918367346939,0.9368779000962087,0.041892515352103296,P-NET,median
Her2 F1,0.7058823529411765,0.7058823529411765,0.8421052631578947,0.7368421052631579,0.8,0.7581424148606812,0.060658364345915816,P-NET,median
LumA F1,0.8689655172413793,0.8993288590604027,0.8571428571428571,0.8552631578947368,0.8888888888888888,0.873917856045653,0.01951777977596184,P-NET,median
LumB F1,0.6666666666666666,0.7058823529411765,0.7,0.5652173913043478,0.7346938775510204,0.6744920576926422,0.06569332981701555,P-NET,median
Accuracy,0.7878787878787878,0.8409090909090909,0.7803030303030303,0.7633587786259542,0.8473282442748091,0.8039555863983345,0.03779138992112958,P-NET,KNN
Macro F1,0.7330602446074381,0.8140168811401689,0.7872744610234356,0.7620652168092068,0.8350097114317424,0.7862853030023984,0.040508043191272346,P-NET,KNN
Basal F1,0.8936170212765957,0.9333333333333333,0.9777777777777777,0.8936170212765957,1.0,0.9396690307328605,0.04840924153894636,P-NET,KNN
Her2 F1,0.5714285714285714,0.7777777777777778,0.8695652173913043,0.8,0.8235294117647058,0.7684601956724718,0.11527996521867559,P-NET,KNN
LumA F1,0.8356164383561644,0.8904109589041096,0.8111888111888111,0.8029197080291971,0.875,0.8430271832956564,0.0385509203850686,P-NET,KNN
LumB F1,0.631578947368421,0.6545454545454545,0.49056603773584906,0.5517241379310345,0.6415094339622641,0.5939848023086045,0.07039337251356811,P-NET,KNN
